,entity_name,cik,fy,manifold_distance,manifold_distance_pct,net_margin,op_margin,pe_ratio,pb_ratio,revenue,net_income,revenue_growth,debt_to_equity,roe,op_cash_yield,dev_net_margin,dev_log_revenue,dev_log_public_float,dev_debt_to_equity,dev_roe,dev_op_cash_yield,dev_revenue_growth
108,"ZENTRUM HOLDINGS, Inc.",1818152,2021,12.803249919314911,99.85544684325352,-17.91720705775901,-17.91720705775901,,,13262.0,-237618.0,3.066850659306961,-0.0,0.5682792201580347,-1141.720207253886,-4.021062757002221,-4.441256224636616,0.30557781230798264,0.3381430305465103,-0.11556750124859036,0.7842624797726054,10.0
109,OASIS MIDSTREAM PARTNERS LP,1652133,2019,12.78266980647846,99.85410838809847,0.28683223181395984,0.5674722263530891,1.9764006935472904,0.7953463077607141,410191000.0,117656000.0,0.510148256959094,1.568218353456237,0.40242158908232717,1.0860238914161027,1.0070496853843425,1.1270981619749905,1.5083832124699523,10.0,3.2524503756470344,3.2757554875696897,5.221744724841216
110,"APPLIED UV, INC.",1811109,2023,12.779743842339013,99.8527699329434,-0.32427405659603514,-0.48059211279244546,,0.34609613604726286,40718188.0,-13203852.0,1.0217722585705582,0.21811158529337604,-0.6566751197212133,-1.1808255496479378,-4.059321672079537,-2.253431357709002,-0.136331662047766,2.0363103677011445,1.2372462516247427,1.3387862366643086,10.0
111,NORDICUS PARTNERS CORPORATION,1011060,2019,12.774523930747716,99.85143147778834,0.09982068141063957,0.22444710101613868,4943.11377245509,,3346.0,334.0,-0.9988533241946539,-0.0,-2.287671232876712,,2.7458504520926605,-10.0,-1.5076726355128327,-0.042059354807571996,-0.25761256665786597,1.2467741563555512,0.08033966168363271
112,"PAYSIGN, INC.",1496443,2013,12.757423356553419,99.85009302263327,0.09697123808892703,0.10618731363620583,10.609370197683772,110.39895888267016,6307891.0,611684.0,-0.05857824949838726,0.0,10.40579759454264,-0.09557980775957527,2.632705917502262,-9.508309336680233,0.30410910852133766,0.0,0.0,0.7325851703454832,-7.7125260267796225
113,INTERNATIONAL STEM CELL CORPORATION,1355790,2013,12.754011862010932,99.84875456747821,-1.7047340165934601,-1.2275906946477957,,,6147000.0,-10479000.0,0.3459601488942413,-0.0,2.4814113189675586,-0.30000532113020806,7.530049838179006,1.1643037602272976,-0.08923504173949708,0.6865234904774109,0.6616477014969044,-0.9083125916290306,1.6927722599679365
114,CirTran Corporation,813716,2023,12.687922511910552,99.84741611232316,12.553528513477726,-0.009229971512509993,0.006729326569520651,,1616148.0,20288360.0,-0.06002821983554327,-0.029140235050922496,-0.9315695598701207,-0.5318142198978957,1.186661923819577,-0.323256800147543,-4.6738955219327805,-0.3702915870865793,-1.1784772885474062,-8.639674074880332,-7.814115443592369
115,"METRO ONE TELECOMMUNICATIONS, INC.",920990,2022,12.675734534482718,99.8460776571681,-52.56755418122432,36.44671566068297,,3.9925445539185667,74703.0,-3926954.0,,0.6002164089049936,-1.2030405083526057,-0.1382693999920813,-0.1813292391752323,-0.10446962609032569,-1.0828013181808867,7.368877230441136,-2.1762333989776,-0.5881956345530602,0.275091893049409
116,GeneDx Holdings Corp.,1818331,2023,12.658221617854307,99.84473920201303,-0.8677023784840496,-0.8915415222692851,,0.42102123964441246,202566000.0,-175767000.0,-0.1368931459687934,0.24669213260414793,-0.7708504190477026,-1.87653125,-7.50967069184743,-0.008395398577769131,1.8193852504786465,1.4521569172452007,2.2070907087696345,-0.8767931693404848,-6.274232273015134
117,"NEUROMETRIX, INC.",1289850,2015,12.65603388770336,99.84340074685798,-1.2585701310852444,-1.818697969678746,,0.8152897448543738,7299830.0,-9187348.0,0.32416878357208834,0.0,-0.7313190754732181,-1.279001863555917,10.0,0.9233446467299067,-0.4753054347030226,-0.18673142520342212,0.4112929051346672,-0.3979795496623419,1.582570245019134
